Temp,E,E^2,E^4,M,M^2,M^4
0.660000,-1.9999328613,3.9997314518,15.9978517190,0.9999832153,0.9999664311,0.9999328638
0.670000,-1.9999450684,3.9997802781,15.9982422993,0.9999862671,0.9999725345,0.9999450701
0.680000,-1.9999206543,3.9996826263,15.9974611565,0.9999801636,0.9999603277,0.9999206577
0.690000,-1.9999450684,3.9997802770,15.9982422724,0.9999862671,0.9999725344,0.9999450697
0.700000,-1.9998901367,3.9995605599,15.9964846879,0.9999725342,0.9999450692,0.9998901416
0.710000,-1.9999084473,3.9996338012,15.9970706031,0.9999771118,0.9999542244,0.9999084518
0.720000,-1.9999145508,3.9996582109,15.9972658127,0.9999786377,0.9999572759,0.9999145537
0.730000,-1.9998809814,3.9995239415,15.9961917829,0.9999694824,0.9999389659,0.9998779360
0.740000,-1.9998901367,3.9995605599,15.9964846879,0.9999725342,0.9999450692,0.9998901416
0.750000,-1.9998779297,3.9995117344,15.9960941255,0.9999694824,0.9999389658,0.9998779356
0.760000,-1.9998168945,3.9992676128,15.9941414564,0.9999542236,0.9999084494,0.9998169075
0.770000,-1.9997039795,3.9988160223,15.9905298479,0.9999252319,0.9998504705,0.9997009676
0.780000,-1.9996582031,3.9986329429,15.9890656288,0.9999145508,0.9998291097,0.9996582520
0.790000,-1.9996978760,3.9987915978,15.9903342852,0.9999237061,0.9998474181,0.9996948601
0.800000,-1.9996063232,3.9984254543,15.9874062156,0.9998992920,0.9997985945,0.9995972312
0.810000,-1.9995269775,3.9981081456,15.9848689319,0.9998809814,0.9997619778,0.9995240153
0.820000,-1.9994781494,3.9979128745,15.9833074241,0.9998687744,0.9997375664,0.9994752028
0.830000,-1.9994506836,3.9978030387,15.9824291782,0.9998611450,0.9997223095,0.9994446971
0.840000,-1.9994781494,3.9979128764,15.9833074688,0.9998687744,0.9997375664,0.9994752031
0.850000,-1.9994232178,3.9976932214,15.9815513746,0.9998535156,0.9997070539,0.9994141984
0.860000,-1.9992858887,3.9971440668,15.9771607258,0.9998199463,0.9996399251,0.9992799804
0.870000,-1.9990844727,3.9963387327,15.9707233292,0.9997665405,0.9995331359,0.9990664910
0.880000,-1.9990661621,3.9962655297,15.9701383300,0.9997650146,0.9995300852,0.9990603937
0.890000,-1.9989562988,3.9958262999,15.9666280622,0.9997344971,0.9994690656,0.9989384171
0.900000,-1.9988830566,3.9955334938,15.9642882148,0.9997177124,0.9994355058,0.9988713353
0.910000,-1.9986297607,3.9945209628,15.9561983988,0.9996520996,0.9993043230,0.9986091410
0.920000,-1.9985656738,3.9942647894,15.9541517956,0.9996353149,0.9992707654,0.9985420730
0.930000,-1.9985321045,3.9941305931,15.9530795213,0.9996276855,0.9992555110,0.9985115814
0.940000,-1.9982666016,3.9930694274,15.9446037145,0.9995635986,0.9991273888,0.9982555435
0.950000,-1.9982055664,3.9928255160,15.9426560873,0.9995391846,0.9990785834,0.9981580232
0.960000,-1.9979766846,3.9919108862,15.9353533864,0.9994903564,0.9989809760,0.9979630038
0.970000,-1.9978668213,3.9914719013,15.9318489878,0.9994583130,0.9989169237,0.9978350374
0.980000,-1.9974761963,3.9899111764,15.9193915413,0.9993560791,0.9987125747,0.9974268142
0.990000,-1.9975158691,3.9900697109,15.9206573110,0.9993698120,0.9987400252,0.9974816539
1.000000,-1.9971435547,3.9885824180,15.9087903434,0.9992706299,0.9985417946,0.9970857270
1.010000,-1.9969787598,3.9879242226,15.9035404940,0.9992324829,0.9984655588,0.9969334876
1.020000,-1.9967895508,3.9871685494,15.8975136673,0.9991775513,0.9983557816,0.9967142769
1.030000,-1.9964050293,3.9856330686,15.8852713981,0.9990859985,0.9981728344,0.9963490150
1.040000,-1.9961547852,3.9846339961,15.8773091944,0.9990127563,0.9980264923,0.9960568991
1.050000,-1.9955871582,3.9823681490,15.8592567605,0.9988662720,0.9977338328,0.9954728154
1.060000,-1.9955993652,3.9824168606,15.8596445938,0.9988647461,0.9977307830,0.9954667237
1.070000,-1.9950134277,3.9800786547,15.8410273382,0.9987213135,0.9974442679,0.9948950908
1.080000,-1.9948425293,3.9793967611,15.8355992895,0.9986740112,0.9973497833,0.9947066006
1.090000,-1.9946624756,3.9786784551,15.8298832603,0.9986297607,0.9972614035,0.9945303250
1.100000,-1.9938323975,3.9753678468,15.8035529775,0.9984008789,0.9968043288,0.9936189249
1.110000,-1.9939483643,3.9758302336,15.8072284998,0.9984390259,0.9968804986,0.9937707691
1.120000,-1.9929962158,3.9720342095,15.7770604216,0.9982055664,0.9964143708,0.9928416699
1.130000,-1.9928283691,3.9713650549,15.7717427191,0.9981491089,0.9963016559,0.9926170387
1.140000,-1.9923583984,3.9694921254,15.7568699189,0.9980041504,0.9960122919,0.9920405161
1.150000,-1.9918762207,3.9675710337,15.7416223699,0.9979003906,0.9958051997,0.9916280358
1.160000,-1.9910247803,3.9641797252,15.7147216781,0.9976837158,0.9953728003,0.9907670256
1.170000,-1.9901123047,3.9605471301,15.6859358645,0.9974288940,0.9948644095,0.9897552361
1.180000,-1.9897003174,3.9589075344,15.6729517392,0.9973312378,0.9946696129,0.9893676988
1.190000,-1.9893096924,3.9573540334,15.6606664756,0.9972122192,0.9944322748,0.9888958061
1.200000,-1.9883361816,3.9534808322,15.6300116545,0.9969589233,0.9939271016,0.9878911100
1.210000,-1.9876922607,3.9509208551,15.6097808441,0.9967727661,0.9935559766,0.9871535951
1.220000,-1.9873504639,3.9495622873,15.5990489118,0.9966796875,0.9933704307,0.9867849364
1.230000,-1.9870117188,3.9482159834,15.5884159747,0.9966171265,0.9932457277,0.9865371986
1.240000,-1.9850219727,3.9403127122,15.5260718403,0.9960601807,0.9921359237,0.9843338504
1.250000,-1.9852569580,3.9412455400,15.5334219353,0.9961273193,0.9922696597,0.9845991704
1.260000,-1.9848602295,3.9396706363,15.5210126932,0.9960510254,0.9921176842,0.9842976540
1.270000,-1.9825897217,3.9306625084,15.4501156795,0.9954086304,0.9908383840,0.9817608718
1.280000,-1.9818542480,3.9277462875,15.4271913242,0.9951934814,0.9904100706,0.9809121279
1.290000,-1.9810577393,3.9245903702,15.4024190517,0.9949859619,0.9899971096,0.9800944559
1.300000,-1.9801513672,3.9210010089,15.3742735701,0.9947738647,0.9895751746,0.9792595515
1.310000,-1.9794982910,3.9184141928,15.3539808890,0.9945510864,0.9891319197,0.9783821769
1.320000,-1.9783020020,3.9136790975,15.3168885660,0.9942092896,0.9884521362,0.9770377235
1.330000,-1.9772338867,3.9094543921,15.2838422319,0.9939315796,0.9879000248,0.9759466165
1.340000,-1.9761535645,3.9051832058,15.2504604847,0.9936477661,0.9873358958,0.9748322212
1.350000,-1.9749877930,3.9005775614,15.2145174681,0.9932922363,0.9866295355,0.9734381114
1.360000,-1.9734161377,3.8943718764,15.1661420271,0.9928680420,0.9857870034,0.9717762312
1.370000,-1.9720520020,3.8889893637,15.1242423979,0.9925125122,0.9850811087,0.9703848768
1.380000,-1.9707794189,3.8839725082,15.0852578205,0.9921417236,0.9843452587,0.9689358205
1.390000,-1.9696258545,3.8794281095,15.0499950739,0.9918258667,0.9837187310,0.9677032541
1.400000,-1.9690277100,3.8770707525,15.0316873869,0.9917190552,0.9835067289,0.9672856608
1.410000,-1.9665985107,3.8675109581,14.9576604405,0.9909622192,0.9820062302,0.9643366691
1.420000,-1.9656738281,3.8638745413,14.9295410386,0.9907257080,0.9815375364,0.9634163589
1.430000,-1.9636810303,3.8560441928,14.8690923127,0.9901290894,0.9803557161,0.9610977321
1.440000,-1.9611083984,3.8459465476,14.7913109587,0.9894149780,0.9789420368,0.9583276602
1.450000,-1.9604461670,3.8433514731,14.7713859074,0.9892395020,0.9785949878,0.9576489158
1.460000,-1.9586303711,3.8362340679,14.7167092675,0.9887847900,0.9776954102,0.9558885075
1.470000,-1.9572387695,3.8307843721,14.6749207214,0.9883026123,0.9767421349,0.9540255160
1.480000,-1.9542266846,3.8190030459,14.5848012405,0.9874710083,0.9750990768,0.9508185392
1.490000,-1.9519897461,3.8102655597,14.5181478675,0.9866943359,0.9735657914,0.9478306573
1.500000,-1.9508056641,3.8056433420,14.4829304255,0.9863876343,0.9729606203,0.9466525837
1.510000,-1.9497314453,3.8014539341,14.4510706365,0.9862045288,0.9725994803,0.9459501680
1.520000,-1.9480651855,3.7949583118,14.4017138195,0.9855926514,0.9713928895,0.9436042044
1.530000,-1.9451599121,3.7836496995,14.3160445959,0.9847061157,0.9696463736,0.9402150175
1.540000,-1.9420715332,3.7716426366,14.2253001900,0.9839126587,0.9680841847,0.9371872396
1.550000,-1.9412811279,3.7685732647,14.2021572185,0.9835891724,0.9674477222,0.9359553358
